row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,
37,398.90585177451,0.5072216,,,,280,,,,,,,9567.412,30742.867,18706.783,7711.7285,0,38255.008,0,26847.635,0,0,0,16029.645,0,16812.916,10527.386,29444.422,28744.11,16233.288,0,28268.686,23315.84,10973.059,0,52099.438,8527.142,31086.006,0,0,15415.174,9168.072,15253.338,27786.145,42126.203,0,37247.56,20256.182,0,13752.662,13498.321,
42,330.9309109820566,0.5079151,,,,280,,,,,,,13622.875,38417.215,23263.383,0,0,35665.074,17103.072,27727.76,9644.887,16471.855,8484.77,21552.322,19544.748,0,14618.934,26316.07,27124.584,17609.15,10898.447,22426.625,24480.248,0,0,47687.9,9520.446,31432.697,0,12999.888,21686.621,15096.905,16401.396,25779.469,40077.777,0,37046.547,22950.1,15010.715,15486.31,15218.13,
57,312.92025970928614,0.50873417,,,,280,,,,,,,0,44628.645,22178.898,12508.654,0,39049.9,19268.9,29353.734,9443.342,17254.814,6939.105,22214.053,21643.473,0,15393.932,25811.049,28947.021,19098.127,0,24356.508,23969.152,9229.163,0,54799.777,7002.157,34337.883,0,13657.793,22194.379,16020.8,15331.61,26908.02,49738.74,0,45931.11,23974.021,15024.505,13333.369,14237.5205,
58,353.9470743061641,0.50877637,,,,280,,,,,,,14955.833,47673.96,25806.078,15326.663,0,43005.31,20791.43,34966.5,11383.591,19465.318,0,24305.46,24013.92,0,18848.922,32953.312,32432.93,22238.5,12313.804,25785.379,29136.26,0,0,62127.44,9611.082,31985.28,14597.144,15144.263,23217.867,17839.252,16575.723,31762.57,47247.297,6133.366,47279.246,23713.629,16087.414,13935.431,17813.818,
63,442.8782704762976,0.5089848,,,,84,,,,,,,14962.889,77709.46,36309.96,24634.137,18547.34,44020.203,36182.92,30243.79,11450.056,20704.297,0,37274.0,28269.865,23241.652,28623.281,24825.426,30542.652,20561.043,18798.861,14387.975,29128.11,0,0,63984.008,0,34932.742,0,25332.676,39265.508,27947.648,13234.903,25707.19,58461.723,0,57355.57,25776.219,23773.379,0,13820.49,
78,328.8979142676755,0.5100812,,,,84,,,,,,,21920.129,160399.4,58763.766,42564.78,68954.86,55371.094,72633.875,38483.594,16721.814,30534.943,3913.524,63463.25,42811.977,28579.242,43870.742,28288.932,37044.844,29732.713,38837.125,14079.416,35590.562,0,0,78792.13,0,41872.797,16482.232,57662.848,71289.76,51287.254,14602.45,29540.117,82810.02,0,84733.48,35832.223,37261.668,8896.607,17994.914,
81,369.9247035697783,0.5103164,,,,84,3,[2M+NH4]+,,3,81;87;80,175.94908,12502.823,97268.02,35071.31,28586.06,39255.65,34902.57,45680.2,23646.656,8959.802,15947.952,0,35302.727,24560.777,16699.523,26865.166,16182.817,18988.16,16386.29,0,6672.8843,20114.705,0,0,45116.195,0,20104.355,8757.184,30964.045,40394.574,29190.93,8462.021,15757.087,40910.473,0,48709.676,18722.775,24342.87,0,9743.1875,
87,239.96665739672721,0.5104604,,,,84,3,[M+ACN+Na]+,,2,81;87,175.94908,148949.66,1080858.9,352832.03,236067.12,362054.66,501375.6,410255.47,332439.38,110136.93,205299.8,63084.523,381517.84,284763.94,213454.48,255232.53,294633.16,314180.3,215062.56,202181.33,221587.39,299627.56,76870.08,0,733519.06,58040.18,358084.1,127374.625,281760.0,422318.44,292962.7,145904.81,299495.38,656615.9,42373.46,663258.0,276351.25,234186.61,107463.16,160536.77,
89,257.97720497858467,0.5105162,,,,84,,,,,,,54008.06,272533.66,104922.36,76659.04,99259.52,137217.06,117862.25,96934.19,36315.418,65185.64,0,108557.625,84649.06,68378.99,78306.91,83873.08,92998.53,69872.97,63540.76,68412.516,91805.9,0,0,186820.27,0,100620.61,44549.145,85234.83,118700.5,89905.15,49799.953,86771.25,178821.34,0,171763.12,84450.02,76775.89,34166.03,53402.793,
91,458.85578833429554,0.51061755,,,,84,9,[2M+K]+,,4,128;156;91;133,209.94092,10789.431,121698.2,36817.113,35619.58,67310.02,27926.227,58957.305,17041.201,0,16455.04,0,43426.04,25744.133,14220.197,31394.844,11566.758,15975.206,12498.336,29723.184,0,18496.48,0,0,40956.54,0,18876.045,0,43849.105,52802.957,39494.113,6354.4385,13436.031,45199.98,0,48045.855,17926.406,27776.568,0,7723.8,
