ID1,ID2,EdgeType,Score,Annotation
195,206,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
195,206,MS1 annotation,2.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
542,594,MS1 annotation,3.000,[2M+2H]+2 [M+K]+ dm/z=37.9559
569,594,MS1 annotation,3.000,[2M+2H]+2 [M-H2O+NH4]+ dm/z=0.9841
1066,1106,MS1 annotation,2.000,[M+H]+ [M-H2O+NH4]+ dm/z=0.9840
1301,1316,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0262
1359,1378,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
1365,1444,MS1 annotation,2.000,[2M+2H]+2 [M+NH4]+ dm/z=17.0267
1385,1449,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
1385,1548,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1385,1449,MS1 annotation,3.000,[M+Na]+ [2M+2H]+2 dm/z=21.9818
1385,1548,MS1 annotation,3.000,[M+NH4]+ [2M+2H]+2 dm/z=17.0265
1398,1560,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
1519,1560,MS1 annotation,6.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
1535,1560,MS1 annotation,6.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0479
1559,1560,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0265
1560,1566,MS1 annotation,6.000,[M-3H2O+H]+ [M+NH4]+ dm/z=71.0584
1915,2118,MS1 annotation,5.000,[M+NH4]+ [2M+Na]+ dm/z=269.0387
1915,1949,MS1 annotation,5.000,[M-2H2O+H]+ [2M+Na]+ dm/z=322.0875
1915,1984,MS1 annotation,5.000,[M+H]+ [2M+Na]+ dm/z=286.0663
1949,1980,MS1 annotation,5.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0031
1949,2118,MS1 annotation,5.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0489
1980,2118,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9542
1980,1984,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9819
1984,2118,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0276
1986,2030,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
2022,2051,MS1 annotation,2.000,[M+K]+ [M+Na]+ dm/z=15.9746
