row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,
2,272.9415238422224,0.49386066,,,,,,,,,,,0,0,0,0,0,10615.249,0,0,0,9323.105,0,6449.004,12119.019,0,10088.134,0,10953.222,10331.033,0,0,10381.349,12706.023,13391.303,10656.036,0,13833.02,0,0,8841.013,9454.243,0,0,5138.6577,0,9198.704,8883.894,11995.83,0,0,
5,244.94678622366922,0.49726355,,,,,,,,,,,0,0,0,7961.523,0,12971.93,11795.683,0,7500.3994,9083.865,0,8518.984,11807.726,0,9981.329,0,10584.563,0,0,0,10381.61,11423.378,12285.617,11082.584,0,12977.513,9317.689,0,8878.565,9931.876,10436.454,0,0,0,0,0,0,0,0,
8,271.9165023342196,0.50152344,,,,,,,,,,,6768.01,0,7019.6934,5744.2197,0,0,0,0,0,0,6361.7964,6753.6377,0,0,0,0,0,0,5940.198,62991.22,0,0,0,0,0,0,0,0,0,0,0,6748.955,0,5179.9844,0,0,0,6396.1953,0,
22,400.9386764443936,0.50371754,,,,539,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12569.288,8741.602,13439.6875,0,19280.055,0,0,0,5416.052,0,0,0,0,0,0,0,0,0,
40,398.90585177451004,0.50722164,,,,539,,,,,,,30742.867,0,7711.7285,18706.783,0,38255.008,26847.635,29444.422,0,9567.412,10527.386,16029.645,0,0,28744.11,0,16812.916,23315.84,0,0,16233.288,10973.059,8527.142,52099.438,15415.174,28268.686,31086.006,0,0,15253.338,13752.662,9168.072,0,37247.56,13498.321,20256.182,27786.145,0,42126.203,
43,128.0194860083371,0.50727797,,,,539,,,,,,,65790.79,21433.27,20233.58,31018.012,29286.518,62626.3,44496.832,47548.066,16228.865,21469.809,23223.209,35214.906,24161.143,24424.625,48278.508,30239.484,29028.83,42825.203,18909.533,0,30113.166,32787.473,26662.865,82037.164,34369.137,55601.0,52744.645,12575.101,21750.707,33502.18,30793.277,24610.613,22405.162,70370.625,30996.63,38959.816,47084.566,22599.621,71973.164,
47,265.0154731436316,0.50758946,,,,223,,,,,,,0,0,0,54907.246,0,0,79112.21,0,19091.713,23987.646,0,49876.51,43841.133,40211.133,76963.55,43123.89,53383.15,0,0,0,0,0,45074.08,174381.52,0,128575.63,101987.86,18838.816,29935.004,0,50963.055,0,0,0,0,0,0,0,0,
49,286.95845631421645,0.5076776,,,,539,,,,,,,7666.7803,0,0,0,0,18736.592,16186.115,22750.38,0,0,0,0,15710.307,7924.3096,17265.113,8083.1396,10811.07,14343.138,0,0,10471.735,24935.541,16908.148,28464.514,0,35739.625,18868.402,6941.381,0,13170.438,18535.967,0,0,15918.893,10856.964,12771.471,20303.096,0,19845.797,
50,243.99683486668005,0.507714,,,,539,,,,,,,115778.64,0,23830.697,52937.465,40020.76,118387.445,85822.125,93644.85,22095.658,30312.137,31752.906,54134.004,44716.39,41152.324,87647.36,50011.043,54081.703,72569.836,20220.582,0,49338.16,75721.664,49888.87,187071.55,48106.19,133408.56,103391.3,20606.285,36784.562,53373.633,60696.06,32438.766,30586.166,130932.12,50243.734,69043.54,94546.45,26518.693,144121.1,
52,330.93091098205656,0.50791514,,,,539,,,,,,,38417.215,0,0,23263.383,17103.072,35665.074,27727.76,26316.07,9644.887,13622.875,14618.934,21552.322,8484.77,16471.855,27124.584,19544.748,0,24480.248,10898.447,0,17609.15,0,9520.446,47687.9,21686.621,22426.625,31432.697,0,0,16401.396,15486.31,15096.905,15010.715,37046.547,15218.13,22950.1,25779.469,12999.888,40077.777,
54,241.9996269071339,0.50797534,,,,539,,,,,,,437685.03,68692.8,94539.914,200129.88,144064.53,446533.75,321525.56,362276.0,87434.66,120234.76,122635.55,201209.66,169653.22,151277.56,330680.2,192531.64,204632.4,282715.66,76635.54,0,191582.06,278836.75,189093.88,687136.06,182836.14,485419.03,378444.62,79442.11,137288.98,201285.62,227156.81,129619.24,121330.11,483053.25,190537.7,261957.78,352767.6,101026.09,531300.94,
56,143.99691941958184,0.5082594,,,,539,,,,,,,88191.24,68722.44,31927.686,32045.865,45748.605,35415.19,22608.271,18994.822,13349.584,17218.527,30114.516,40067.293,0,19796.25,24797.312,24866.113,18658.441,24507.66,29460.637,0,19472.566,0,4660.7534,37722.426,43601.086,12305.7295,26192.363,0,12514.832,13572.793,8364.581,36744.875,26648.803,44751.824,15741.016,22792.5,18232.852,42372.723,42588.72,
