row ID,row m/z,row retention time,1685365277_ALC_dbgi_001139_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001140_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001141_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001142_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001143_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001144_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001145_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001146_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001147_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001148_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001149_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001150_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001151_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001152_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001153_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001156_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001157_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001158_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001159_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001160_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001161_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001162_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001163_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001166_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001169_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001173_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001174_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001175_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001176_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001177_01_02_neg.mzML Peak area,1685365277_ALC_dbgi_001178_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001182_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001183_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001184_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001185_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001186_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001187_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_001188_01_01_neg.mzML Peak area,1685365277_ALC_dbgi_BK00_neg.mzML Peak area,1685365277_ALC_dbgi_QC00_neg.mzML Peak area,1685365277_ALC_dbgi_QC01_neg.mzML Peak area,1685365277_ALC_dbgi_QC02_neg.mzML Peak area,1685365277_ALC_dbgi_QC03_neg_20230530152214.mzML Peak area,1685365277_ALC_dbgi_QC04_neg.mzML Peak area,1685365277_ALC_dbgi_QC05_neg.mzML Peak area,1685365277_ALC_dbgi_QC06_neg.mzML Peak area,
39,441.19889155626674,3.4190908500000003,8.379000505720064E7,1008794.0845635656,9050877.19067594,518189.28456337156,4.7840443214055136E7,2401930.6433017286,1.7067339954834157E8,6.445106860186487E7,3.2535821602499656E7,1331273.4823502921,2.803514184546926E7,1.5434503123161122E7,1015012.8501672909,4309019.719754956,8072699.960891078,2.0268292696827214E7,446575.20647575404,3577383.7196963234,1.4178326131706658E8,369981.2292797821,620103.1273938793,1479405.7023315907,7.309595369829252E7,1.3811630066245522E7,3.225919622991318E7,641997.9726678303,7890897.681446212,2515525.896762674,8118107.560710584,987494.4913383897,2216106.0999424057,2611763.919154965,5.4699253832939975E7,2.769205014331781E8,1646393.010987802,515033.26443925913,1.0750541779867029E8,2033237.7616248017,1746.9854935591684,2.6646350277783494E7,2.664711762779218E7,2.7178006483873267E7,1.724802020852086E7,2.246282003188938E7,2.440897459193369E7,2.420349476300074E7,
346,729.231477013465,0.6196996954545455,5305840.313465942,5.754463268380686E7,9180072.718185531,883667.4539394791,4.161072846567174E7,1323019.9685842758,3.3578202697509885E7,8449145.266095307,1.011522453722607E7,229138.25521472923,1.2704385360461794E8,1.8358495733182624E7,3125218.290594457,3.7908678661422156E7,1.6622975963146506E7,4454075.310519037,0,1.713572638112746E7,9846578.529506125,2.0707048663796507E7,4386711.056775894,2.645498761120032E7,1.9599380822151642E7,1.6087406951021284E7,3485108.7687905803,3.341760471532777E7,6493620.415618902,3998116.2353903847,1.2400845485843195E7,9196687.196801635,2452290.552021069,5064112.787264433,1.0461137184880842E7,3.7276390301692285E7,6996016.708621513,5673318.426011144,1.834459246024413E7,1.7948257928984657E7,0,9866902.697334062,1.0181952876384834E7,1.0432751230077062E7,1.0508123518093696E7,9822261.478550263,1.0253156349536661E7,9434655.95361297,
866,488.1634150634809,1.3404966555555555,1751863.4575620585,3.5425816980170816E7,4905639.217258851,4634291.513457445,1.926499490341743E7,2509444.297929416,1.8695375737717032E7,1.7295884690354813E7,1757294.371197163,895759.9751039592,2.0209612063330885E7,2.1796161284917407E7,1.8244551460271806E7,1.3606206306607122E7,2.3537345036443327E7,3392989.77276307,201032.44282850344,9488794.796942811,7756788.544633004,1.2804825604221376E7,1.0658441000435162E7,2.666586312185157E7,1.0290265580334567E7,4029664.5277615716,607419.9718453645,2.2165304223700497E7,3358067.6784157734,4488881.246037983,9817277.585782269,1.1132582790527483E7,2745585.600660984,4974989.678179173,6464100.79272961,2.134701098026255E7,1.182326880836184E7,7232587.498681826,1.602522237864694E7,1.923390414614907E7,0,1.0379590517209033E7,1.1881628941656142E7,1.0740402756047158E7,6911109.217214673,1.059466942219852E7,1.1320498014855472E7,9410504.517858045,
654,305.0138789381904,0.7942845727272726,2535357.832127185,6124669.360471118,6387889.344166225,164004.32380286622,3443319.8536531366,2661315.0043396605,4072642.216191935,368633.3486835678,3798683.173832474,4179988.9649787787,4313355.342092146,1395868.394333687,1110632.3185489208,770489.6863628887,386549.2710598797,66602.93061993562,3094233.0077513442,7676089.863612038,2631818.5114723057,0,2650972.50764985,1106964.2767310252,1906957.6662856913,9588230.465774935,768324.8119273076,554284.2770256186,3833846.398321842,2107673.7476051943,2900214.9922919665,2034805.5966121415,3960091.134694673,1576183.620741456,4303368.071897121,5534004.302132162,9469727.366232995,1.2910794738205075E7,7978028.920296363,4795121.022877728,0,1733081.1614745415,1775669.4200198255,1725994.1593029182,1869749.4175642107,1593398.0243102524,1667070.2992381433,1459012.8968069134,
1423,294.0982068519462,2.4060336321428575,0,538791.4600708365,15922.329933539351,0,41160.5336623597,669601.2129216373,0,235362.40154834703,0,0,0,2262697.3402992543,0,140752.18673029344,1430564.7764170635,0,8575.3339807151,325192.1802882533,23257.63304941483,43459.53359669783,0,941075.7181665965,0,0,139492.70506242244,25731.027944320467,18188.87039648429,59994.57906978831,180301.1768648919,0,0,53616.28363057686,0,0,1302270.0905971865,0,0,568003.9055504267,0,119841.8003698486,107671.59924710727,48406.758539623945,81914.77529009752,48119.774257230405,86755.05500159868,98101.10944780025,
3328,523.2146561187607,3.4453886000000007,0,43137.652455984964,0,0,0,0,0,0,8874720.361302774,0,98782.66127973032,33172.848236260616,0,58058.272340878684,17627.544387442264,46965.68900700026,0,0,0,15486.47433487481,0,0,0,0,1.2444350234575849E7,0,0,0,0,0,0,25151.692172190444,2.0136729432767153E7,0,0,0,0,0,0,888340.0157214709,944318.0408355136,938374.8730171787,577524.4308496775,616689.6258874463,709011.9456057182,718999.3345689807,
635,520.0524559068965,2.1274675782608696,1661074.981162488,0,2374587.4455301776,0,4440112.847464443,0,4597105.236754281,0,1556837.483835377,0,3485131.334741692,0,0,0,0,0,0,2651730.095681485,3533479.9235262778,0,0,0,3984520.173953506,3039109.021332838,762505.6075936907,0,1707564.1144929794,0,4067158.5851631453,0,0,0,1835033.8672063518,2360515.938096135,0,0,4035434.4423107347,0,0,1608458.0542949375,1642837.2204063805,1576151.4243073906,536256.3399927012,1566838.059593842,1480638.8131500883,1416800.9367579394,
3655,1191.2745751951484,2.8664996,0,0,0,0,0,0,0,0,0,726749.7680376475,0,0,0,0,0,0,0,578156.8620444841,0,0,0,0,0,2966763.534143244,0,0,0,0,0,0,4635246.362146655,0,1357573.1963995167,0,0,0,0,0,0,0,0,0,0,0,0,0,
3559,823.1956705430938,2.894554288888889,0,0,0,0,0,0,0,0,0,2927384.134077292,0,0,0,0,0,0,382639.84612095624,0,0,0,0,0,0,0,0,0,0,0,0,0,700931.2016784467,0,0,0,0,0,0,0,0,78067.24795544296,61549.6330108571,117136.09404070216,0,61313.912853129645,143246.30503064292,122606.47340108315,
3885,451.12607857277226,2.0491156999999998,0,0,0,0,0,53834.93989134611,0,0,0,0,0,0,1531022.8013290698,0,0,0,9290.347843710962,0,0,0,0,0,0,8326770.18728705,0,0,0,0,0,0,138175.82372086178,0,6707402.234506023,0,0,0,0,0,0,0,0,0,0,0,0,0,
