row ID,row m/z,row retention time,1685365277_ALC_dbgi_001139_01_01.mzML Peak area,1685365277_ALC_dbgi_001140_01_01.mzML Peak area,1685365277_ALC_dbgi_001141_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001143_01_01.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001145_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001147_01_01.mzML Peak area,1685365277_ALC_dbgi_001148_01_02.mzML Peak area,1685365277_ALC_dbgi_001149_01_01.mzML Peak area,1685365277_ALC_dbgi_001150_01_01.mzML Peak area,1685365277_ALC_dbgi_001151_01_01.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001156_01_01.mzML Peak area,1685365277_ALC_dbgi_001157_01_01.mzML Peak area,1685365277_ALC_dbgi_001158_01_01.mzML Peak area,1685365277_ALC_dbgi_001159_01_01.mzML Peak area,1685365277_ALC_dbgi_001160_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001163_01_01.mzML Peak area,1685365277_ALC_dbgi_001166_01_01.mzML Peak area,1685365277_ALC_dbgi_001169_01_01.mzML Peak area,1685365277_ALC_dbgi_001173_01_01.mzML Peak area,1685365277_ALC_dbgi_001174_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001176_01_01.mzML Peak area,1685365277_ALC_dbgi_001177_01_02.mzML Peak area,1685365277_ALC_dbgi_001178_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,1685365277_ALC_dbgi_001183_01_01.mzML Peak area,1685365277_ALC_dbgi_001184_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001186_01_01.mzML Peak area,1685365277_ALC_dbgi_001187_01_01.mzML Peak area,1685365277_ALC_dbgi_001188_01_01.mzML Peak area,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_QC00.mzML Peak area,1685365277_ALC_dbgi_QC01.mzML Peak area,1685365277_ALC_dbgi_QC02.mzML Peak area,1685365277_ALC_dbgi_QC03.mzML Peak area,1685365277_ALC_dbgi_QC04.mzML Peak area,1685365277_ALC_dbgi_QC05.mzML Peak area,1685365277_ALC_dbgi_QC06.mzML Peak area,
843,277.21644733385494,7.112906849999998,358195.75013657496,1926950.6086325576,695461.0478066615,3364270.096860438,3411428.7697486756,827802.4978950506,698431.374040859,1380523.3982207724,369496.18519282487,346935.8620930126,1648392.282714567,1073531.8171697992,1604678.085914361,2122655.727303089,1331210.9054904606,2147234.9620980583,759165.3436702691,3102917.4241528255,1025113.2362466194,1071772.7634144316,1354364.643151525,1522506.138962709,2918189.4380967226,1.4817287904793113E8,6793228.1979527,1121720.1879631286,2804497.40666638,117133.29431758531,2187328.270216787,1517683.8219273344,74020.28755048414,1760204.353417043,418059.01836273,314357.0411949438,841378.1140950738,678270.9143856342,265692.859059949,2101753.517560184,10629.509846416702,3469186.2579869838,3785314.16858089,3989997.18836632,3483937.8847213127,4047532.257434372,3845913.3445665347,3663134.2602933124,
844,388.23284812364096,4.1866510111111115,163872.64634053299,497202.71360135253,38692.94748938114,68868.87341369357,114727.78312061205,119016.45530498937,333454.38056342246,155353.32504695686,414588.64258411847,64121.676448652,54819.5490222889,478527.5485826165,44034.54988290915,114113.65642973351,2542391.744471773,100891.4528973427,220101.11258342164,142591.6655026683,334104.94607025944,130414.92890516651,271840.03506110585,88011.94053816581,18789.284826006962,905881.0568102206,531080.605959468,125709.28729619063,83381.14957052274,201610.47152922716,25247.348532629712,69315.25080939331,63718.21538080496,132916.18182234347,1927519.9752699565,149830.0823626473,73878.21937994518,243370.6029455805,328661.61915289226,107872.51061659511,0,452802.5827507373,455956.1726498327,462484.2339912193,414463.384818323,380357.1020750506,341871.41540107044,371098.6721269597,
3094,331.1292686745442,3.340092428205129,1655899.8447961633,390603.9254234623,477686.9682909811,254505.64743802242,166072.1309078674,304432.3402017674,0,496345.2325654346,1136031.5366622175,172876.97753564225,741401.2139566873,241801.0639673013,117506.55173382511,227083.32565248807,183446.12657054834,159684.05079495173,173457.8808151298,62919.1812596603,0,305249.04661380703,291799.0663338529,473552.0571694073,0,2045370.2636167896,0,199877.50808213037,828401.0761107644,75121.46825465673,62376.85949304976,368438.7524810644,160429.6291507226,498497.91959057725,3972567.045782609,0,184336.3677246497,206991.19807228178,0,326765.81815429346,0,466839.1297058063,448521.86514165194,440714.9777387288,528881.3461965941,409413.74639088433,399943.9009472797,445299.17518747336,
2752,397.2121200524941,3.4369586447368423,714481.6234803502,23163.095796994436,105019.10533266894,0,454591.709441064,96166.8223476343,1534534.9692861906,695112.87189885,275627.5088834289,45836.54689212899,0,0,86794.78561699457,122683.04342457936,191327.9039009869,202378.83376658772,0,0,1601081.8326178633,35767.27526264202,791709.9057531813,13953.418744819732,607137.000602748,0,191478.70049807848,314733.30685925746,242493.34521353937,37186.32948236128,40720.05273131111,0,233478.77601914163,42546.59494641496,415367.560013003,1838309.489187221,128349.38584544425,484082.5328590374,1037325.6320731532,5842.8330362811685,0,291940.0318534934,247745.79226708526,253168.41967180057,282426.252442642,260827.86797029144,260773.03504003078,234388.71088215927,
4440,347.1696300976917,3.0120757642857146,80298.74283310525,0,0,0,0,75314.580652495,0,0,0,0,0,57794.15836336551,43761.741263047676,7438.720789262738,22646.2191049116,31510.02327595202,0,2467689.486515096,0,5711.545672343393,0,5918.987312213528,0,0,421263.98195554665,0,0,0,0,0,0,16452.179244640316,0,0,0,12258.142026749976,0,6659.559134946641,0,0,0,0,0,0,0,0,
4601,487.12197575557303,3.14293199,0,462015.3234815656,0,0,0,51548.3495375535,0,0,0,0,0,21526.496522305242,0,0,8954.263675125121,0,0,0,0,1162.5782788651265,1154039.705016282,0,0,0,0,0,0,0,0,0,0,0,0,0,147781.98382081007,1000638.8640079265,0,0,0,0,43123.119594186544,0,0,0,0,24916.255035867274,
4862,947.221347753401,3.6109577636363634,99461.37995580348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303626.8265121292,107419.28483709312,0,0,0,21467.446616179965,0,0,0,0,1095609.4556708045,0,0,0,0,0,13182.420597281016,18384.83103937557,0,17135.07269715751,15816.72912569575,16012.800935859186,10221.571897371608,
2592,496.140018354562,2.5757825499999996,0,0,65857.12592044928,0,3462238.1596598597,15153.18902346684,0,0,41215.73606894464,13733.714982011954,684506.9974816837,0,0,0,0,0,0,0,0,0,28662.48686428714,0,873617.1065656027,0,0,0,0,0,520330.30747708795,0,0,0,0,0,6323.448629736361,73374.03973259064,0,0,0,81472.62293084704,28933.26794683484,86188.13925438406,54199.989123452506,26798.014488376182,74849.49615427731,44219.110108962894,
1848,472.27749759762276,3.6091388894736847,0,0,1214958.769487161,0,237515.45926075958,0,88322.94499986364,0,140457.98652567965,0,37026.92857500064,0,0,0,0,0,0,200443.96863331576,84604.40871375632,0,0,0,65762.57545692404,830895.2358652808,269260.99176567246,0,1120930.3994806919,0,124897.99429081674,0,0,0,0,0,0,0,0,0,0,133553.49348892813,178427.36178147933,137078.78408911222,125299.19483877989,137256.48015318645,88807.33964302801,164418.68850445419,
743,303.1415789857451,1.9829668945945949,409528.60099293815,64998.798507251166,378153.93227830285,168097.80628871324,439255.61687219306,0,326650.5073635525,63572.47003300755,1424312.0945233565,162036.24911541145,351211.3325401525,19701.992993906235,0,0,21897.253067613652,110903.92420244616,0,43545.48276959434,332031.3486849405,15386.350302680075,0,148818.6905414484,350504.9455940745,1100823.2454037485,142697.82745256173,0,709262.166703301,0,161790.63494846437,271500.4344056453,285979.1531414219,124921.38404259007,945472.3995906621,442271.012803096,11744.112786164163,0,234983.51849710566,48834.58379646114,0,471345.9918334042,436738.71356977994,426632.4880658895,462700.94116730324,308270.247264264,410602.95510094985,329257.2070831337,
2350,448.1943333304354,2.11150152631579,0,206277.22787879294,27850.228049015706,3797995.3663593614,89978.92027981728,26768.930039877338,51004.575320132506,1283404.485747709,127148.91191683635,302875.39374253096,15748.126807206962,3364925.6676484374,363334.95651312685,0,2759961.622155117,0,3986945.745859298,22851.467359687715,17787.201166646006,0,155694.69311375453,132674.1407353239,60083.853535652815,0,382665.1199143698,46709.11424359642,721181.6885557371,0,159579.16476909316,1136529.6307171485,173199.5822620189,0,84654.15355221191,155275.6173594711,12436.29071083869,186127.7698258225,27153.501308946266,461840.12878665875,0,862006.8023354722,844641.5892553565,805566.4087778237,896062.6193083638,758929.736312305,791403.699384792,715381.6601636033,
