filename,sample_id,sample_type,ATTRIBUTE_species,ATTRIBUTE_genus,ATTRIBUTE_localisation
230605_ED_dbgi_dbgi_001139_01_03_nr8cent.mzML,dbgi_001139,sample ,Lonicera caprifolium,Lonicera,jbuf
230605_ED_dbgi_dbgi_001140_01_03_nr8cent.mzML,dbgi_001140,sample ,Clematis terniflora,Clematis,jbn
230605_ED_dbgi_dbgi_001141_01_03_nr8cent.mzML,dbgi_001141,sample ,Lonicera nigra,Lonicera,jbn
230605_ED_dbgi_dbgi_001142_01_03_nr8cent.mzML,dbgi_001142,sample ,Clematis,Clematis,jbn
230605_ED_dbgi_dbgi_001143_01_03_nr8cent.mzML,dbgi_001143,sample ,Lonicera etrusca,Lonicera,jbn
230605_ED_dbgi_dbgi_001144_01_03_nr8cent.mzML,dbgi_001144,sample ,Clematis terniflora,Clematis,jbn
230605_ED_dbgi_dbgi_001145_01_03_nr8cent.mzML,dbgi_001145,sample ,Lonicera xylosteum,Lonicera,jbn
230605_ED_dbgi_dbgi_001146_01_03_nr8cent.mzML,dbgi_001146,sample ,Clematis tangutica,Clematis,jbn
230605_ED_dbgi_dbgi_001147_01_03_nr8cent.mzML,dbgi_001147,sample ,Lonicera caucasica,Lonicera,jbn
230605_ED_dbgi_dbgi_001148_01_03_nr8cent.mzML,dbgi_001148,sample ,Euonymus alatus,Euonymus,jbn
230605_ED_dbgi_dbgi_001149_01_03_nr8cent.mzML,dbgi_001149,sample ,Lonicera etrusca,Lonicera,jbn
230605_ED_dbgi_dbgi_001150_01_03_nr8cent.mzML,dbgi_001150,sample ,Clematis,Clematis,jbn
230605_ED_dbgi_dbgi_001151_01_03_nr8cent.mzML,dbgi_001151,sample ,Clematis,Clematis,jbn
230605_ED_dbgi_dbgi_001152_01_03_nr8cent.mzML,dbgi_001152,sample ,Clematis flammula,Clematis,jbn
230605_ED_dbgi_dbgi_001153_01_03_nr8cent.mzML,dbgi_001153,sample ,Clematis chinensis,Clematis,jbn
230605_ED_dbgi_dbgi_001156_01_03_nr8cent.mzML,dbgi_001156,sample ,Clematis alpina,Clematis,jbuf
230605_ED_dbgi_dbgi_001157_01_03_nr8cent.mzML,dbgi_001157,sample ,Euonymus fortunei,Euonymus,jbuf
230605_ED_dbgi_dbgi_001158_01_03_nr8cent.mzML,dbgi_001158,sample ,Lonicera alpigena,Lonicera,jbuf
230605_ED_dbgi_dbgi_001159_01_03_nr8cent.mzML,dbgi_001159,sample ,Lonicera xylosteum,Lonicera,jbn
230605_ED_dbgi_dbgi_001160_01_03_nr8cent.mzML,dbgi_001160,sample ,Clematis alpina,Clematis,jbn
230605_ED_dbgi_dbgi_001161_01_03_nr8cent.mzML,dbgi_001161,sample ,Clematis vitalba,Clematis,jbn
230605_ED_dbgi_dbgi_001162_01_03_nr8cent.mzML,dbgi_001162,sample ,Clematis recta,Clematis,jbuf
230605_ED_dbgi_dbgi_001163_01_03_nr8cent.mzML,dbgi_001163,sample ,Lonicera implexa,Lonicera,jbn
230605_ED_dbgi_dbgi_001166_01_03_nr8cent.mzML,dbgi_001166,sample ,Lonicera caerulea,Lonicera,jbuf
230605_ED_dbgi_dbgi_001169_01_03_nr8cent.mzML,dbgi_001169,sample ,Lonicera japonica,Lonicera,jbuf
230605_ED_dbgi_dbgi_001173_01_03_nr8cent.mzML,dbgi_001173,sample ,Clematis recta,Clematis,jbn
230605_ED_dbgi_dbgi_001174_01_03_nr8cent.mzML,dbgi_001174,sample ,Lonicera nigra,Lonicera,jbuf
230605_ED_dbgi_dbgi_001175_01_03_nr8cent.mzML,dbgi_001175,sample ,Clematis viticella,Clematis,jbuf
230605_ED_dbgi_dbgi_001176_01_03_nr8cent.mzML,dbgi_001176,sample ,Lonicera tatarica,Lonicera,jbuf
230605_ED_dbgi_dbgi_001177_01_03_nr8cent.mzML,dbgi_001177,sample ,Euonymus europaeus,Euonymus,jbuf
230605_ED_dbgi_dbgi_001178_01_03_nr8cent.mzML,dbgi_001178,sample ,Euonymus alatus,Euonymus,jbuf
230605_ED_dbgi_dbgi_001182_01_03_nr8cent.mzML,dbgi_001182,sample ,Clematis alpina,Clematis,jbuf
230605_ED_dbgi_dbgi_001183_01_03_nr8cent.mzML,dbgi_001183,sample ,Lonicera kamtschatica,Lonicera,jbuf
230605_ED_dbgi_dbgi_001184_01_03_nr8cent.mzML,dbgi_001184,sample ,Lonicera periclymenum,Lonicera,jbuf
230605_ED_dbgi_dbgi_001185_01_03_nr8cent.mzML,dbgi_001185,sample ,Clematis heracleifolia,Clematis,jbuf
230605_ED_dbgi_dbgi_001186_01_03_nr8cent.mzML,dbgi_001186,sample ,Clematis vitalba,Clematis,jbuf
230605_ED_dbgi_dbgi_001187_01_03_nr8cent.mzML,dbgi_001187,sample ,Lonicera xylosteum,Lonicera,jbuf
230605_ED_dbgi_dbgi_001188_01_03_nr8cent.mzML,dbgi_001188,sample ,Clematis recta,Clematis,jbuf
230605_ED_dbgi_Blank_ALC_01_03_nr8cent.mzML,Blank_ALC,blank,NA,NA,NA
230605_ED_ALC_QC_2_nr8cent.mzML,QC_2,QC,NA,NA,NA
230605_ED_ALC_QC_3_nr8cent.mzML,QC_3,QC,NA,NA,NA
230605_ED_ALC_QC_4_nr8cent.mzML,QC_4,QC,NA,NA,NA
230605_ED_ALC_QC_5_nr8cent.mzML,QC_5,QC,NA,NA,NA
230605_ED_ALC_QC_6_nr8cent.mzML,QC_6,QC ,NA,NA,NA
230605_ED_ALC_QC_7_nr8cent.mzML,QC_7,QC,NA,NA,NA
,,,,,
